DATE,FFR,Tbill,Tb1yr,r5,r10,PPINSA,Finished,CPI,CPICORE,M1NSA,M2SA,M2NSA,Unemp,IndProd,RGDP,Potent,Deflator,Curr
1995Q4,5.72,5.26,5.44,5.69,5.89,125.47,128.8,153.7,84.4,1141.4,10857.7,3624.47,5.57,72.61,9176.4,9342.7,82.195,415
1996Q1,5.36,4.93,5.12,5.57,5.91,126.3,129.97,155.07,84.76,1118,10992.6,3662.87,5.53,73.09,9239.3,9414.5,82.67,415.5
1996Q2,5.24,5.02,5.66,6.49,6.72,127.83,131.03,156.4,85.15,1117.57,11123.9,3708.67,5.5,74.63,9399,9487.1,82.987,420.6
1996Q3,5.31,5.1,5.78,6.54,6.78,128.17,131.5,157.3,85.57,1100.03,11228.5,3737.97,5.27,75.64,9480.8,9561,83.25,429.8
1996Q4,5.28,4.98,5.48,6.1,6.34,128.43,132.6,158.67,86.07,1090.53,11359.2,3789.07,5.33,76.63,9584.3,9636.3,83.71,438
1997Q1,5.28,5.06,5.65,6.36,6.56,128.5,132.77,159.63,86.48,1074.63,11501.8,3836,5.23,78.06,9658,9713.1,84.251,442.6
1997Q2,5.52,5.05,5.85,6.57,6.7,127.2,131.53,160,86.95,1064.67,11630.8,3878,5,79.29,9801.2,9791.6,84.447,448.8
1997Q3,5.53,5.05,5.54,6.13,6.24,127.2,131.3,160.8,87.17,1064.8,11814.6,3930.5,4.87,81.15,9924.2,9871.7,84.742,457.1
1997Q4,5.51,5.09,5.48,5.83,5.91,127.5,131.63,161.67,87.49,1076.4,11997.2,4002.27,4.67,83.12,10000.3,9953.6,85.055,467.6
1998Q1,5.52,5.05,5.31,5.51,5.59,125.03,130.6,162,87.79,1074.1,12218.8,4077.27,4.63,84.03,10094.8,10037.5,85.198,473.2
1998Q2,5.5,4.98,5.41,5.59,5.6,124.93,130.53,162.53,88.11,1077.9,12444.8,4149.9,4.4,84.63,10185.6,10123.2,85.402,478.9
1998Q3,5.53,4.82,5.09,5.12,5.2,124.3,130.5,163.37,88.45,1071.37,12652.9,4207.2,4.53,85.25,10320,10210.5,85.729,488.9
1998Q4,4.86,4.25,4.39,4.39,4.67,123.47,131,164.13,88.78,1098.87,12978,4328.27,4.43,86.38,10498.6,10299.2,85.988,503.2
1999Q1,4.73,4.41,4.66,4.88,4.98,122.6,131.47,164.73,89.12,1095.53,13206.6,4410.27,4.3,87.25,10592.1,10389.1,86.371,512
1999Q2,4.75,4.45,4.88,5.44,5.54,124.5,132.27,165.97,89.43,1102.73,13396.5,4467.83,4.27,88.09,10674.9,10480.2,86.675,523.7
1999Q3,5.09,4.65,5.16,5.77,5.88,126.87,133.57,167.2,89.73,1092.07,13595.2,4517.33,4.23,88.96,10810.7,10572.6,86.998,537.5
1999Q4,5.31,5.04,5.61,6.06,6.14,127.93,134.83,168.43,90.1,1118.77,13776.6,4595.83,4.07,90.59,11004.8,10666.4,87.305,573.5
